effective_date,change_pct,cash_rate_target,change_bps
2010-02-03,0.0,3.75,0
2010-03-03,0.25,4.0,25
2010-04-07,0.25,4.25,25
2010-05-05,0.25,4.5,25
2010-06-02,0.0,4.5,0
2010-07-07,0.0,4.5,0
2010-08-04,0.0,4.5,0
2010-09-08,0.0,4.5,0
2010-10-06,0.0,4.5,0
2010-11-03,0.25,4.75,25
2010-12-08,0.0,4.75,0
2011-02-02,0.0,4.75,0
2011-03-02,0.0,4.75,0
2011-04-06,0.0,4.75,0
2011-05-04,0.0,4.75,0
2011-06-08,0.0,4.75,0
2011-07-06,0.0,4.75,0
2011-08-03,0.0,4.75,0
2011-09-07,0.0,4.75,0
2011-10-05,0.0,4.75,0
2011-11-02,-0.25,4.5,-25
2011-12-07,-0.25,4.25,-25
2012-02-08,0.0,4.25,0
2012-03-07,0.0,4.25,0
2012-04-04,0.0,4.25,0
2012-05-02,-0.5,3.75,-50
2012-06-06,-0.25,3.5,-25
2012-07-04,0.0,3.5,0
2012-08-08,0.0,3.5,0
2012-09-05,0.0,3.5,0
2012-10-03,-0.25,3.25,-25
2012-11-07,0.0,3.25,0
2012-12-05,-0.25,3.0,-25
2013-02-06,0.0,3.0,0
2013-03-06,0.0,3.0,0
2013-04-03,0.0,3.0,0
2013-05-08,-0.25,2.75,-25
2013-06-05,0.0,2.75,0
2013-07-03,0.0,2.75,0
2013-08-07,-0.25,2.5,-25
2013-09-04,0.0,2.5,0
2013-10-02,0.0,2.5,0
2013-11-06,0.0,2.5,0
2013-12-04,0.0,2.5,0
2014-02-05,0.0,2.5,0
2014-03-05,0.0,2.5,0
2014-04-02,0.0,2.5,0
2014-05-07,0.0,2.5,0
2014-06-04,0.0,2.5,0
2014-07-02,0.0,2.5,0
2014-08-06,0.0,2.5,0
2014-09-03,0.0,2.5,0
2014-10-08,0.0,2.5,0
2014-11-05,0.0,2.5,0
2014-12-03,0.0,2.5,0
2015-02-04,-0.25,2.25,-25
2015-03-04,0.0,2.25,0
2015-04-08,0.0,2.25,0
2015-05-06,-0.25,2.0,-25
2015-06-03,0.0,2.0,0
2015-07-08,0.0,2.0,0
2015-08-05,0.0,2.0,0
2015-09-02,0.0,2.0,0
2015-10-07,0.0,2.0,0
2015-11-04,0.0,2.0,0
2015-12-02,0.0,2.0,0
2016-02-03,0.0,2.0,0
2016-03-02,0.0,2.0,0
2016-04-06,0.0,2.0,0
2016-05-04,-0.25,1.75,-25
2016-06-08,0.0,1.75,0
2016-07-06,0.0,1.75,0
2016-08-03,-0.25,1.5,-25
2016-09-07,0.0,1.5,0
2016-10-05,0.0,1.5,0
2016-11-02,0.0,1.5,0
2016-12-07,0.0,1.5,0
2017-02-08,0.0,1.5,0
2017-03-08,0.0,1.5,0
2017-04-05,0.0,1.5,0
2017-05-03,0.0,1.5,0
2017-06-07,0.0,1.5,0
2017-07-05,0.0,1.5,0
2017-08-02,0.0,1.5,0
2017-09-06,0.0,1.5,0
2017-10-04,0.0,1.5,0
2017-11-08,0.0,1.5,0
2017-12-06,0.0,1.5,0
2018-02-07,0.0,1.5,0
2018-03-07,0.0,1.5,0
2018-04-04,0.0,1.5,0
2018-05-02,0.0,1.5,0
2018-06-06,0.0,1.5,0
2018-07-04,0.0,1.5,0
2018-08-08,0.0,1.5,0
2018-09-05,0.0,1.5,0
2018-10-03,0.0,1.5,0
2018-11-07,0.0,1.5,0
2018-12-05,0.0,1.5,0
2019-02-06,0.0,1.5,0
2019-03-06,0.0,1.5,0
2019-04-03,0.0,1.5,0
2019-05-08,0.0,1.5,0
2019-06-05,-0.25,1.25,-25
2019-07-03,-0.25,1.0,-25
2019-08-07,0.0,1.0,0
2019-09-04,0.0,1.0,0
2019-10-02,-0.25,0.75,-25
2019-11-06,0.0,0.75,0
2019-12-04,0.0,0.75,0
2020-02-05,0.0,0.75,0
2020-03-04,-0.25,0.5,-25
2020-03-20,-0.25,0.25,-25
2020-04-08,0.0,0.25,0
2020-05-06,0.0,0.25,0
2020-06-03,0.0,0.25,0
2020-07-08,0.0,0.25,0
2020-08-05,0.0,0.25,0
2020-09-02,0.0,0.25,0
2020-10-07,0.0,0.25,0
2020-11-04,-0.15,0.1,-15
2020-12-02,0.0,0.1,0
2021-02-03,0.0,0.1,0
2021-03-03,0.0,0.1,0
2021-04-07,0.0,0.1,0
2021-05-05,0.0,0.1,0
2021-06-02,0.0,0.1,0
2021-07-07,0.0,0.1,0
2021-08-04,0.0,0.1,0
2021-09-08,0.0,0.1,0
2021-10-06,0.0,0.1,0
